source_id,title,plot
wiki-01384,The Purchase Price,"Joan Gordon, a New York torch singer who has been performing since age 15, has left her wealthy criminal boyfriend, Eddie Fields, for upstanding citizen Don Leslie. However, Don's father has found out about her relationship with Eddie; she and Don break off their engagement, and she decides to leave town rather than return to Eddie. In Montreal, she changes her name and resumes performing; not long thereafter, one of Eddie's men recognizes her and informs his boss. Unwilling to return to him, she trades places with her hotel's maid, Emily, who had used Joan's picture when corresponding with a North Dakota farmer in search of a mail-order bride. Offering the maid $100 (about 7 weeks' wages) for the farmer's address, Joan sets out to become the wife of Jim Gilson, with only a vague idea of all the hardships of farm life during the height of the Great Depression. Jim and Joan's relationship gets off to a rocky start; on their first night, she rejects his advances and forces him to sleep elsewhere. In the morning, she apologizes but he keeps his distance. Over time she falls in love with him, but he remains aloof. Meanwhile, he's informed that he'll lose his land if he can't pay his overdue mortgage. He has developed a great strain of wheat and is sure it will bring a profit, but he has no way to keep foreclosure at bay long enough to plant and harvest a crop. A neighboring farmer, Bull McDowell, offers to buy Jim's land in exchange for Joan's company, but Jim is unwilling to make such a bargain and thereby makes an enemy of Bull. A little later, Joan—who has become a very capable farmer's wife—visits a neighbor who just gave birth with only her adolescent daughter by her side. Joan cleans the home, prepares food, turns an old dress into diapers, and calms the frightened daughter, Sarah Tipton. She braves a snowstorm to return home, where Jim has taken in a man who lost his way in the storm—Eddie. She pretends not to know him, but Eddie quickly tries to take her with him. Jim, angry at Joan because of her complicated past, and because he's jealous, though he can't yet admit that he cares about her, tells her to go with Eddie. She refuses and later asks Eddie privately for a loan to save Jim's land. The loan, which Jim thinks is an extension from the bank, enables them to stay on the farm until after the harvest. She continues to stand by him, but he remains distant. Then one night Bull torches part of the harvested-but-not-sold crop, and Joan and Jim fight to save it. Joan is injured, but they succeed—and her determination and dedication finally break through Jim's reserve."
wiki-01645,Born to be Bad,"Letty Strong (Loretta Young) was raised in a good family, but became pregnant and ran away from home. She was taken in by elderly Fuzzy (Henry Travers), and gave birth to Mickey (Jackie Kelk) in the back room of Fuzzy's bookstore at the age of fifteen. Embittered, she taught Mickey to be street smart so he will never be taken advantage of like her. Fuzzy strongly disapproves of how she is raising her son. Now seven years old, Mickey skips school and does as he pleases. Meanwhile, Letty earns a living by entertaining buyers so they will give business to her friend Steve Karns. A milk truck driven by Malcolm ""Mal"" Trevor (Cary Grant) hits Mickey as he is rollerskating in the street. When Letty's lawyer, Adolphe, learns that Mal is the wealthy president of Amalgamated Dairies (out checking every aspect of his large business), he talks Letty into seizing the opportunity to make some money. They get Mickey to lie about the extent of his injuries. However, during the trial, Mal's attorney (Paul Harvey) produces films showing Mickey fully recovered. The irate judge has Mickey taken from Letty and put in an institution for boys. Mal and his wife Alyce (Marion Burns) have no children. Mal offers to adopt Mickey, with Letty's approval, so she can see her son more frequently. Mickey thrives on Mal's country estate and the loving parenting he receives. Letty is not satisfied with this arrangement; she wants her son back. Adolph suggests she seduce Mal and blackmail him into giving her Mickey (as well as money) with a recording of their conversation. The plan works; Mal admits he has fallen in love with her, and they spend the night together. The next morning, however, Mal informs a surprised Letty that he has told his wife. Alyce is willing to sacrifice herself for Mal's happiness. Letty comes to realize her genuine feelings for Mal, and breaks up with him, pretending to have only been toying with him. She then goes back to Fuzzy and asks for her old job back at the bookstore."
wiki-01746,Men in White,"A dedicated young doctor places his patients above everyone else in his life. Unfortunately, his Social Register fianceé, Laura Hudson(Myrna Loy), can't accept the fact that he considers an appointment in the operating room more important than attending a cocktail party. He soon drifts into an affair with a pretty nurse who shares his passion for healing. One thread of the story involves diabetic hypoglycemia:[2] Two doctors have a conflict at the bedside of a young girl who is desperately ill. The younger doctor diagnoses (correctly) that the patient is in insulin shock (needing glucose), while the senior doctor insists she is in a diabetic coma (needing insulin). Fortunately, the doctor with the correct diagnosis prevails and the child recovers."
wiki-01959,Page Miss Glory,"Country girl Loretta Dalrymple (Marion Davies) arrives in New York City and gets a job as a chambermaid in a luxurious hotel, the same hotel in which con man ""Click"" Wiley (Pat O'Brien) and his photographer partner Ed Olsen (Frank McHugh) are three weeks in arrears. Desperate to avoid being evicted by the assistant manager, Mr. Yates (Berton Churchill), Click has Ed make a composite photograph by combining the best features of several renowned Hollywood beauties and enters the resulting fake under the name ""Dawn Glory"" in a nationwide beauty contest for the $2500 prize. Dawn Glory wins. Bingo Nelson (Dick Powell), a pilot famous for performing crazy stunts, immediately falls in love when he spots the photograph in his friend Click's suite. After heroically flying to Alaska through a blizzard to deliver serum for some sick children, he proposes to Dawn Glory on national radio. As a result, reporters clamor to interview the woman, putting Click in a tough spot. Slattery (Lyle Talbot) of the Express is particularly persistent, digging up Click's checkered past to try to blackmail him into giving him an exclusive interview. Finally, Click is about to admit the truth when Ed's girlfriend Gladys Russell (Mary Astor) discovers Loretta trying on a dress delivered for Miss Glory. Earlier in the day, Loretta had splurged and gotten her hair styled as in the photograph. Gladys and Ed pass off Loretta as Dawn. Soon, advertising endorsements and royalties make Click and Ed a lot of money. Simeon Hamburgher (Al Shean), president of Nemo Yeast, the beauty contest's sponsor, hires Bingo to fly over the city and tout Miss Glory's endorsement of his product over a loudspeaker. His bitter rival, J. Horace Freischutz (Joseph Cawthorn), orders his assistant Joe Bonner (Hobart Cavanaugh) to arrange a meeting somehow with Dawn, so he can try to persuade her to sign with him. Bonner pays thugs Petey (Allen Jenkins) and Blackie (Barton MacLane) to kidnap her. After Petey learns that Dawn is really an impostor, he and his partner decide to blackmail Click instead. Click agrees to pay them off if they will kidnap Bingo, a persistent nuisance who keeps trying to talk to Dawn. Gladys, jealous of a possible rival for Ed's affections, suggests they take Dawn instead. Petey is dazzled by Dawn's beauty, so he does. However, Bingo tracks them down and rescues her. She agrees to marry him and announces it to everyone from the skies over New York."
wiki-02065,Florida Special,"Newspaper reporter Bangs Carter and his rich buddy Wally Tucker end up on a train bound for Florida with jewel thieves and Wally's ex-girlfriend. Bangs falls for a passenger, Jerry Quinn, along the way as they try to catch the crooks."
wiki-02089,Libeled Lady,"Wealthy Connie Allenbury (Myrna Loy) is falsely accused of breaking up a marriage and sues the New York Evening Star newspaper for $5,000,000 for libel. Warren Haggerty (Spencer Tracy), the managing editor, turns in desperation to former reporter and suave ladies' man Bill Chandler (William Powell) for help. Bill's scheme is to maneuver Connie into being alone with him when his wife shows up, so that the suit will have to be dropped. Bill is not married, so Warren volunteers his long-suffering fiancée, Gladys Benton (Jean Harlow), to marry Bill in name only, over her loud protests. Bill arranges to return to America from England on the same ocean liner as Connie and her father J. B. (Walter Connolly). He pays some men to pose as reporters and harass Connie at the dock, so that he can ""rescue"" her and become acquainted. On the voyage, Connie initially treats him with contempt, assuming that he is just the latest in a long line of fortune hunters after her money, but Bill gradually overcomes her suspicions. Complications arise when Connie and Bill actually fall in love. They get married, but Gladys decides that she prefers Bill to a marriage-averse newspaperman and interrupts their honeymoon to reclaim her husband. Bill reveals that he found out that Gladys' Yucatán divorce was not valid, but Gladys states she got a second divorce in Reno, so she and Bill are actually man and wife. Fortunately, Connie and Bill manage to show Gladys that she really loves Warren."
wiki-02110,Pennies from Heaven,"In prison, Larry Poole (Bing Crosby), a self-described troubadour, is approached by an inmate named Hart (John Gallaudet) who is on his way to the electric chair. Hart asks Larry to deliver a letter to a family called Smith near Middletown, New Jersey. After finding the family, which consists of a grandfather (Donald Meek) and a young girl named Patsy (Edith Fellows), Poole tells them that the letter holds a key, reveals that the condemned man had unintentionally killed Patsy's father and that he is giving the Smith family his old house and former hideout, the only thing he has to give as atonement. Susan Sprague (Madge Evans) represents the county welfare department and it is her job to see that Patsy is raised ""properly"", or the girl will go to an orphanage. A variety of misadventures befall Larry as he tries to help ""Gramps"" out with Patsy to save her from the orphanage, all while Susan and he are falling in love, paternally. To get cash for a restaurant license, Larry gets a stunt job at the circus, but is injured. While he is in hospital Gramps comes to let him know that the county has taken Patsy away. Larry believes Susan went behind his back and had Patsy placed in the orphanage. It is discovered that Susan had no part in it, but she loses her job defending Larry and his care of the child. Larry has the circus perform for the children so that he can 'break Patsy out', when Patsy lets Larry know how Susan feels about him. Their attempt to free Patsy fails. Afterwards, Larry finds out that Susan has gone to New York and he goes there to find her. While in New York, Susan is approached by two policemen looking for Larry, not to arrest him as she suspects, but to bring him back to the head of the County Welfare Department to help deal with Patsy, who has gone on a hunger strike. The policemen are watching Susan's apartment in the hopes that Larry will show up. When he does, they make him leave with them, after he and Susan reveal their feelings for each other. When they return to the orphanage, the head of the welfare department begs Larry to help them with Patsy. Larry agrees to adopt Patsy and raise her with the help of Susan, who agrees to marry him and be a mother to Patsy."
wiki-02616,Lucky Night,"Two people meet in a park (Cora, played by Myrna Loy, and William ""Bill"" Overton, played by Robert Taylor). They become acquainted and each discovers that the other is also poor. They try to get 50 cents to eat at a restaurant but a man complains to the police. They convince a policeman to give them 50 cents by saying that they are engaged (which they are not). While walking, they drop the money without knowing it. When their restaurant bill comes to 50 cents, they suddenly realize they must have lost it. Someone leaves a coin on the table, Bill tells Cora to steal it, which she does. Bill spots a slot machine in the restaurant and tells Cora to gamble, which she does and wins. Bill and Cora go to a casino, win a car in a game and make more money gambling. The two get drunk and wake up to find out they are married. Bill gets a job but still gets the urge to gamble; Cora doesn't care to live that life, so she leaves Bill and goes back to her father. Bill goes to her house to get her back and he succeeds."
wiki-02860,Lillian Russell,"Helen Leonard (Faye) has a beautiful voice. As she grows up, she trains to become an opera singer. Her instructor, however, informs her that her voice is pleasing, but not suitable for grand opera. Returning home one day, she and her grandmother (Westley) are saved by a handsome young man, newspaperman Alexander Moore (Fonda). Meanwhile, Helen's mother, Cynthia (Peterson), has political aspirations, but only receives a handful of votes for mayor. While singing one evening, Helen is overheard by vaudeville impresario Tony Pastor (Carrillo), who hires her to sing at his theater. She is given a new name, Lillian Russell, and quickly rises to fame as the toast of New York. As the years pass, Lillian becomes one of the most revered stars in America. She has many suitors, including financier Diamond Jim Brady (Arnold), Jesse Lewisohn (William), and composer Edward Solomon (Ameche). She eventually marries Edward and they move to London, where Gilbert and Sullivan are writing an operetta especially for her. Alexander Moore returns and makes a contract with Lillian to write stories about her rise to fame. But tragedy soon strikes when Edward dies one evening while composing a song for her. Lillian cancels the interviews and makes an appearance in the show, singing the song her husband composed for her, ""Blue Lovebird."" Lillian returns to America and is, by this time, the greatest stage attraction of the century. Alexander comes to see Lillian after a new show and the two are happily reunited."
wiki-03016,Charlie Chan in Rio,"In the beginning of the film, detective Charlie Chan is in Rio de Janeiro, Brazil, along with his son, Jimmy, and the Rio chief of police, Chief Souto, to arrest singer Lola Dean, whom Chan suspects killed a man in Honolulu. After a performance, Lola’s boyfriend, Carlos, asks her to marry him, which she accepts. Her personal assistant, Helen Ashby, then reminds Lola she has an appointment with a Hindu psychic, Marana. Lola visits the psychic, who puts her in a semi-comatose state using coffee and cigarettes laced with a special natural herb. Lola reveals in this state that she did kill a man, Manuel Cardozo, after he refused to marry her in Honolulu. The psychic records the conversation. When Lola wakes up, the psychic tells her what she told him, but assures her that it will be kept confidential between them. On the way home, a worried Lola convinces Carlos to elope instead of marry at a later date. When she arrives home, she begins packing. Later, Chan, Jimmy, and Chief Souto arrive at Lola’s house to arrest her, but instead find her dead in her room. The three conclude that Lola was murdered, and spot many obvious clues which they realize were left there on purpose to throw them off. They also notice Lola’s jewelry missing. Chan then informs Lola’s guests, who were there to celebrate her engagement, of her death, and brings in two suspects, the psychic and Paul Wagner. Wagner reveals that he was married to Lola, but they had separated. The psychic plays back his conversation with Lola, and reveals himself to be Alfredo Cardozo, the brother of the man Lola killed. Chief Souto asks everyone to stay in the house while the murder is being investigated. Later, Jimmy witnesses a conversation between Lola’s butler, Rice, and maid, Lilly. Rice tells Lilly to stay quiet about something she saw earlier. Chan and Souto find scratch marks on the floor where Lola was murdered. Chan suspects that the scratch marks were from the brooch Lola was wearing, and that a pin on that brooch would still be stuck in the murderer’s shoe. Chan then finds similar scratch marks under one of the chairs at the dinner table where all of the guests had dined. Jimmy hides in Rice’s room and finds Lola’s jewelry there. He then takes Rice to Chan. Rice explains that he has the jewels but did not kill Lola. Before he can tell Chan who did, the lights go out and he is shot. Chan then asks all of the guests to go back to their original positions at the dinner table. He reveals to them that the scratch marks he found were under Helen’s chair. When Helen protests her innocence, Chan suggests Cardozo put her in the semi-comatose state. When she still says she did not kill Lola, Chan asks that he go under the same treatment using the same cigarette. But when he does, Chan is unaffected. Cardozo tries to admit to killing Lola, but Helen stops him, revealing she did it. She further explains that she was the wife of Manuel Cardozo. After hearing of Alfredo’s conversation with Lola, Helen learned Lola was going to elope. Realizing that Lola was going to leave and escape justice, Helen killed her. When Rice walked in on the act, she offered him the jewels to keep him quiet, and later shot him. Chief Souto then arrests Helen and takes her to jail. Jimmy asks to take Lilly back to Honolulu with him, but Chan tells him he has been drafted in the United States Army."
wiki-03100,Lady Be Good,"Eddie Crane, a young composer, is struggling with a tune he has just written. When his girlfriend, Dixie Donegan, provides words almost by accident, the song is published and is a great success. A few years later, now married and successful songwriters with a hit Broadway show behind them, Dixie realizes that Eddie is spending more time in rich New York society than composing. They divorce, but quickly realize they are still in love and cannot do without each other. They remarry and write more successful songs, but then Eddie goes off to South America, ostensibly to get inspiration to write a symphony. Dixie again seeks a divorce, but the astute judge denies it. Eddie returns and they realize that despite all, they are still in love."
